week,mean,median,min,max
2018-01-29,27.25,27.0,15,40
2018-02-05,30.571428571428573,31.0,8,54
2018-02-12,58.142857142857146,63.0,35,74
2018-02-19,48.857142857142854,44.0,31,74
2018-02-26,43.857142857142854,44.0,37,56
2018-03-05,43.714285714285715,39.0,37,59
2018-03-12,35.285714285714285,33.0,29,41
2018-03-19,32.57142857142857,32.0,28,37
2018-03-26,20.142857142857142,18.0,12,31
2018-04-02,18.285714285714285,19.0,11,22
2018-04-09,20.0,20.0,18,23
2018-04-16,27.333333333333332,26.0,24,32
2018-04-23,48.285714285714285,54.0,28,64
2018-04-30,58.285714285714285,56.0,52,67
2018-05-07,51.285714285714285,53.0,40,63
2018-05-14,34.714285714285715,32.0,31,40
2018-05-21,27.285714285714285,26.0,19,41
2018-05-28,27.428571428571427,25.0,16,40
2018-06-04,35.714285714285715,39.0,24,42
2018-06-11,20.142857142857142,19.0,15,26
2018-06-18,27.142857142857142,28.0,15,37
2018-06-25,20.0,20.0,16,27
2018-07-02,33.42857142857143,34.0,27,38
2018-07-09,32.57142857142857,32.0,29,39
2018-07-16,42.42857142857143,43.0,36,47
2018-07-23,50.714285714285715,53.0,44,54
2018-07-30,38.42857142857143,39.0,23,53
2018-08-06,21.285714285714285,21.0,18,25
2018-08-13,20.857142857142858,21.0,16,27
2018-08-20,20.571428571428573,19.0,18,26
2018-08-27,19.142857142857142,19.0,17,22
2018-09-03,17.714285714285715,17.0,13,26
2018-09-10,20.285714285714285,20.0,14,28
2018-09-17,28.285714285714285,25.0,21,38
2018-09-24,38.857142857142854,37.0,34,43
2018-10-01,33.285714285714285,34.0,29,37
2018-10-08,21.428571428571427,19.0,13,31
2018-10-15,22.714285714285715,23.0,20,26
2018-10-22,28.0,27.0,23,35
2018-10-29,34.142857142857146,34.0,29,41
2018-11-05,48.0,48.0,42,54
2018-11-12,36.857142857142854,28.0,23,56
2018-11-19,16.285714285714285,15.0,9,28
2018-11-26,15.285714285714286,15.0,11,19
2018-12-03,13.857142857142858,13.0,11,19
2018-12-10,13.714285714285714,14.0,10,19
2018-12-17,26.0,27.0,17,35
2018-12-24,25.857142857142858,25.0,21,33
2018-12-31,32.57142857142857,31.0,24,48
2019-01-07,31.285714285714285,37.0,19,42
2019-01-14,27.142857142857142,28.0,16,35
2019-01-21,34.57142857142857,35.0,27,41
2019-01-28,22.714285714285715,22.0,17,35
2019-02-04,28.428571428571427,27.0,14,42
2019-02-11,43.42857142857143,43.0,38,48
2019-02-18,62.714285714285715,63.0,59,69
2019-02-25,41.714285714285715,41.0,39,47
2019-03-04,47.57142857142857,54.0,35,56
2019-03-11,55.42857142857143,55.0,54,58
2019-03-18,54.142857142857146,56.0,44,62
2019-03-25,49.285714285714285,49.0,43,57
2019-04-01,63.857142857142854,62.0,59,71
2019-04-08,58.714285714285715,62.0,42,65
2019-04-15,60.0,61.0,50,64
2019-04-22,53.57142857142857,58.0,40,68
2019-04-29,54.42857142857143,51.0,42,67
2019-05-06,68.57142857142857,69.0,57,76
2019-05-13,72.85714285714286,75.0,65,78
2019-05-20,67.85714285714286,68.0,64,73
2019-05-27,67.28571428571429,70.0,61,73
2019-06-03,45.714285714285715,42.0,27,66
2019-06-10,64.57142857142857,63.0,46,80
2019-06-17,83.0,83.0,81,84
2019-06-24,81.14285714285714,80.0,62,95
2019-07-01,69.85714285714286,67.0,63,79
2019-07-08,66.0,65.0,33,84
2019-07-15,32.42857142857143,34.0,16,42
2019-07-22,33.0,40.0,16,47
2019-07-29,44.714285714285715,57.0,19,62
2019-08-05,57.142857142857146,60.0,45,66
2019-08-12,26.0,20.0,11,48
2019-08-19,27.142857142857142,33.0,5,39
2019-08-26,27.285714285714285,24.0,20,41
2019-09-02,39.714285714285715,41.0,28,43
2019-09-09,39.142857142857146,39.0,38,41
2019-09-16,37.57142857142857,38.0,31,41
2019-09-23,28.0,32.0,12,41
2019-09-30,33.42857142857143,32.0,27,39
2019-10-07,37.0,38.0,27,41
2019-10-14,39.142857142857146,40.0,37,41
2019-10-21,36.57142857142857,37.0,20,53
2019-10-28,52.142857142857146,52.0,49,56
2019-11-04,47.0,49.0,38,54
2019-11-11,39.285714285714285,39.0,38,41
2019-11-18,28.0,30.0,20,38
2019-11-25,26.285714285714285,25.0,17,38
2019-12-02,27.142857142857142,28.0,21,32
2019-12-09,24.428571428571427,23.0,20,32
2019-12-16,21.285714285714285,23.0,15,24
2019-12-23,33.0,37.0,22,39
2019-12-30,38.42857142857143,38.0,37,40
2020-01-06,44.57142857142857,44.0,40,51
2020-01-13,53.142857142857146,54.0,49,56
2020-01-20,45.857142857142854,48.0,40,52
2020-01-27,55.285714285714285,57.0,50,57
2020-02-03,56.714285714285715,56.0,53,61
2020-02-10,60.142857142857146,61.0,52,65
2020-02-17,47.0,46.0,43,53
2020-02-24,41.0,40.0,38,46
2020-03-02,38.142857142857146,38.0,33,41
2020-03-09,13.428571428571429,14.0,8,17
2020-03-16,9.857142857142858,9.0,8,12
2020-03-23,11.571428571428571,12.0,8,14
2020-03-30,12.285714285714286,12.0,10,14
2020-04-06,16.428571428571427,15.0,10,22
2020-04-13,15.142857142857142,15.0,11,18
2020-04-20,19.285714285714285,19.0,15,24
2020-04-27,35.57142857142857,40.0,26,45
2020-05-04,47.714285714285715,48.0,40,56
2020-05-11,40.714285714285715,40.0,39,44
2020-05-18,46.57142857142857,49.0,40,52
2020-05-25,43.857142857142854,41.0,39,51
2020-06-01,52.714285714285715,54.0,48,56
2020-06-08,46.714285714285715,52.0,38,54
2020-06-15,38.285714285714285,38.0,37,40
2020-06-22,42.142857142857146,41.0,38,50
2020-06-29,41.142857142857146,41.0,38,44
2020-07-06,42.42857142857143,43.0,40,44
2020-07-13,42.714285714285715,43.0,41,44
2020-07-20,50.857142857142854,53.0,44,55
2020-07-27,73.0,75.0,58,80
2020-08-03,76.28571428571429,77.0,72,79
2020-08-10,78.71428571428571,78.0,75,84
2020-08-17,79.28571428571429,80.0,75,83
2020-08-24,76.0,75.0,74,79
2020-08-31,62.0,75.0,40,83
2020-09-07,39.714285714285715,41.0,38,41
2020-09-14,46.57142857142857,48.0,39,52
2020-09-21,43.857142857142854,45.0,39,48
2020-09-28,43.57142857142857,43.0,40,49
2020-10-05,47.714285714285715,47.0,42,55
2020-10-12,54.285714285714285,55.0,52,56
2020-10-19,66.85714285714286,73.0,55,76
2020-10-26,70.28571428571429,72.0,61,75
2020-11-02,78.28571428571429,74.0,71,90
2020-11-09,88.28571428571429,89.0,86,90
2020-11-16,90.28571428571429,91.0,86,94
2020-11-23,89.57142857142857,89.0,86,94
2020-11-30,92.42857142857143,92.0,88,95
2020-12-07,91.28571428571429,91.0,86,95
2020-12-14,92.85714285714286,92.0,91,95
2020-12-21,91.0,92.0,86,94
2020-12-28,92.85714285714286,93.0,91,95
2021-01-04,93.28571428571429,93.0,91,95
2021-01-11,83.71428571428571,84.0,78,90
2021-01-18,70.85714285714286,75.0,40,80
2021-01-25,72.71428571428571,76.0,55,78
2021-02-01,80.28571428571429,80.0,76,86
2021-02-08,91.71428571428571,92.0,83,95
2021-02-15,92.71428571428571,93.0,91,95
2021-02-22,72.71428571428571,76.0,55,94
2021-03-01,72.57142857142857,77.0,38,84
2021-03-08,75.0,74.0,68,81
2021-03-15,72.71428571428571,72.0,71,76
2021-03-22,64.85714285714286,65.0,54,74
2021-03-29,73.57142857142857,74.0,72,76
2021-04-05,72.42857142857143,72.0,70,76
2021-04-12,76.42857142857143,76.0,74,79
2021-04-19,58.285714285714285,65.0,31,74
2021-04-26,53.285714285714285,52.0,27,68
2021-05-03,63.714285714285715,65.0,48,73
